#,Ticker,Company Name,Market Cap,Close,Previous Close,Change,% Change,Volume,Avg Volume,Relative Volume,Avg Dollar Volume,ADR %,Relative Measured Volatility,21 EMA,50 EMA,150 EMA,200 EMA,200 EMA 1M,52 Week Low,52 Week High,Sector,Industry,Exchange,Pocket Pivot,RS New High,Tight Range,Inside Day,Think 40,Episodic Pivot,RS Score,RS STS %,RS Rating,RS Rating 3M,RS Rating 6M,RS Rating 1Y,AS Rating 1M,AS Rating 3M,AS Rating 6M,AS Rating 1Y,Sector Rank,Industry Rank,Industry Rank By AS
35,VIGL,"Vigil Neuroscience, Inc.",376172320,8.06,8.07,-0.01,-0.12,383800,1680866,0.23,13056564,0.35,40.0,7.8,6.59,4.54,4.24,3.42,1.31,8.09,Healthcare,Biotechnology,NMS,0,0,1,1,1,0,279,57,99,9,1,51,56,100,100,94,9,62,67
36,PSIX,"Power Solutions International, Inc.",1731159552,75.24,75.65,-0.41,-0.54,449600,448964,1.0,24429337,8.56,23.78,65.18,53.8,39.19,35.3,28.38,9.01,79.0,Industrials,Specialty Industrial Machinery,NCM,0,0,0,1,0,0,274,90,99,100,100,100,99,99,98,100,4,34,27
37,QSG,QuantaSing Group Limited,496307232,9.71,8.77,0.94,10.72,1975000,1366312,1.44,13454252,15.86,38.84,9.31,8.29,5.78,5.2,4.14,1.5,15.64,Consumer Defensive,Education & Training Services,NGM,1,0,0,0,0,1,273,57,99,99,11,2,5,97,100,99,11,57,136
38,ALMU,"Aeluma, Inc.",270892832,17.15,16.97,0.18,1.06,217900,365176,0.59,5558260,11.75,8.36,15.87,14.36,10.41,9.28,7.92,2.5,19.5,Technology,Semiconductors,NCM,0,0,0,1,0,1,273,90,99,97,98,48,96,99,98,99,1,18,19
39,PTNM,N/A,317817504,13.97,9.51,4.47,46.98,1464600,1570419,0.93,10844127,7.41,100.0,8.48,0.0,0.0,0.0,0.0,3.52,14.0,N/A,N/A,NCM,0,2,0,1,0,1,268,100,99,68,47,38,100,100,99,98,10,87,94
40,LEU,Centrus Energy Corp.,3667449088,215.26,216.27,-1.01,-0.47,1117300,1315578,0.85,193645956,7.36,24.61,181.02,151.03,109.71,100.21,81.34,33.51,221.0,Energy,Uranium,ASE,0,2,0,1,1,0,260,95,99,87,90,50,97,99,99,99,12,5,6
41,DAVE,Dave Inc.,2701297664,202.49,214.05,-11.56,-5.4,996800,561528,1.77,112911761,9.63,83.75,230.95,204.5,144.11,127.38,103.33,28.74,286.45,Technology,Software - Application,NGM,0,0,0,1,0,0,254,10,99,98,99,100,21,98,99,99,1,69,75
42,DVS,Dolly Varden Silver Corporation,334330720,3.84,3.87,-0.03,-0.78,337100,339548,0.99,1116703,4.31,46.67,3.49,3.13,2.16,1.9,1.55,0.6,4.0,Basic Materials,Silver,ASE,1,2,1,1,1,0,253,95,99,100,21,89,75,82,100,99,5,1,7
43,CDTX,"Cidara Therapeutics, Inc.",1138945792,51.49,55.32,-3.83,-6.91,701600,711532,0.95,31284784,8.59,24.58,44.31,35.38,26.18,24.25,19.79,10.14,56.83,Healthcare,Biotechnology,NCM,1,2,0,1,1,1,246,95,99,91,96,3,100,99,99,99,9,62,67
44,OUST,"Ouster, Inc.",1522398464,28.3,24.72,3.58,14.48,6096700,3198158,1.9,60131751,7.01,76.99,22.39,18.15,13.13,12.19,9.74,5.84,28.44,Technology,Electronic Components,NMS,1,1,0,0,1,1,240,100,99,21,91,98,99,100,99,95,1,15,24
45,BKSY,BlackSky Technology Inc.,811791296,25.89,24.26,1.63,6.72,1945400,1591962,1.22,25608720,6.96,45.74,19.8,15.97,12.58,12.0,10.33,3.86,26.25,Industrials,Specialty Business Services,NYQ,1,2,0,1,1,1,240,100,99,40,81,6,100,99,99,98,4,78,64
46,CRWV,"CoreWeave, Inc.",67689021440,140.59,132.38,8.21,6.21,17245800,23616350,0.73,2994541192,9.06,5.41,146.78,126.79,0.0,0.0,0.0,33.52,187.0,Technology,Software - Infrastructure,NMS,0,0,1,1,0,0,240,19,99,83,47,38,15,99,99,98,1,44,86
47,BBAI,"BigBear.ai Holdings, Inc.",2067441792,7.1,6.92,0.18,2.6,136269200,139479168,0.96,723561836,10.79,19.63,6.19,5.13,4.1,3.81,3.3,1.16,10.36,Technology,Information Technology Services,NYQ,0,0,0,0,0,1,239,76,99,96,97,17,100,99,99,99,1,82,91
48,NWTN,NWTN Inc.,555179968,1.9,1.68,0.22,13.1,135800,1475108,0.09,2986547,10.92,53.85,1.72,1.54,1.28,1.45,1.39,0.3,3.48,Consumer Cyclical,Auto Manufacturers,NCM,0,0,1,0,0,0,238,76,99,2,3,0,18,100,98,93,8,64,72
49,TSSI,"TSS, Inc.",514921888,20.58,21.32,-0.74,-3.45,2101700,3142754,0.67,58710553,13.02,21.15,23.62,19.77,13.88,12.37,9.42,2.12,31.94,Technology,Information Technology Services,NCM,0,0,0,0,0,0,234,14,99,100,100,100,85,99,96,99,1,82,91
50,LAES,SEALSQ Corp,389790240,3.36,3.38,-0.02,-0.59,12745900,13974992,0.9,49730388,8.81,23.14,3.76,3.55,3.04,2.9,2.69,0.29,11.0,Technology,Semiconductors,NCM,0,0,1,1,0,0,234,5,99,99,100,1,3,80,51,99,1,18,19
51,CEP,"Cantor Equity Partners, Inc. Class A Ordinary Shares",345874016,33.58,37.87,-4.29,-11.33,1248600,1834982,0.64,68078650,9.69,100.0,33.04,31.92,23.51,21.09,18.74,9.99,59.75,Financial Services,Shell Companies,NGM,0,0,0,0,0,0,225,62,99,80,59,38,8,99,99,98,7,94,119
52,GRRR,Gorilla Technology Group Inc.,470381760,20.75,20.07,0.68,3.39,2066500,2269326,0.89,46644189,10.58,9.02,20.8,20.23,18.05,16.87,15.95,2.09,44.15,Technology,Software - Infrastructure,NCM,1,0,0,0,0,1,222,43,99,100,99,1,74,59,96,100,1,44,86
53,ASM,Avino Silver & Gold Mines Ltd.,607414784,4.17,4.29,-0.12,-2.8,5018700,5520604,0.89,18500425,5.37,70.37,3.7,3.27,2.36,2.11,1.76,0.83,4.41,Basic Materials,Other Precious Metals & Mining,ASE,1,1,0,0,1,0,221,90,99,99,73,97,91,97,100,99,5,3,36
54,HOOD,"Robinhood Markets, Inc.",87836483584,99.54,99.96,-0.42,-0.42,45710100,44148268,1.03,3390858938,4.89,23.74,88.96,76.64,57.55,52.18,44.03,13.98,101.89,Financial Services,Capital Markets,NMS,0,2,0,1,1,1,208,100,99,98,97,96,98,98,99,99,7,10,13
55,SGMT,Sagimet Biosciences Inc.,305533376,9.49,9.46,0.03,0.32,539400,1746180,0.31,11020172,10.48,22.64,8.31,6.65,5.11,5.02,4.22,1.73,10.42,Healthcare,Biotechnology,NGM,0,0,0,0,1,0,204,90,99,6,81,1,89,100,98,97,9,62,67
56,HSAI,Hesai Group,3192478976,24.1,23.66,0.44,1.86,2865700,3964160,0.72,79122024,6.55,11.8,21.69,20.11,16.54,15.2,13.86,3.52,24.64,Consumer Cyclical,Auto Parts,NMS,0,0,0,1,1,0,200,100,99,98,99,3,93,96,96,99,8,22,37
57,PROK,ProKidney Corp.,1654700288,3.37,3.69,-0.32,-8.67,34420100,15030944,2.28,57920738,20.55,24.3,2.18,1.5,1.38,1.53,1.47,0.46,7.13,Healthcare,Biotechnology,NCM,1,2,0,1,1,1,191,76,99,2,26,50,100,100,98,86,9,62,67
58,CTMX,"CytomX Therapeutics, Inc.",378105600,2.4,2.39,0.01,0.42,643500,6060346,0.11,12878900,8.1,1.49,2.39,2.12,1.56,1.48,1.29,0.4,3.1,Healthcare,Biotechnology,NMS,0,0,0,0,0,0,189,52,99,3,3,10,4,100,99,92,9,62,67
59,RPID,"Rapid Micro Biosystems, Inc.",142891344,3.26,3.2,0.06,1.87,63700,113924,0.56,365182,7.13,48.24,3.4,3.23,2.58,2.34,2.11,0.64,4.04,Healthcare,Medical Devices,NCM,0,0,0,0,0,0,187,10,99,99,80,4,8,88,99,99,9,114,117
60,SMR,NuScale Power Corporation,5732973056,42.98,42.12,0.86,2.04,14447000,14278580,0.95,474887320,7.87,35.14,37.3,32.76,24.99,22.88,19.48,6.88,45.31,Industrials,Specialty Industrial Machinery,NYQ,1,0,0,0,0,0,186,90,99,95,99,100,83,99,98,97,4,34,27
61,MP,MP Materials Corp.,9516408832,58.22,48.52,9.7,19.99,73348000,13188558,5.37,468239454,4.98,100.0,37.06,31.49,25.67,24.27,21.42,10.02,62.87,Basic Materials,Other Industrial Metals & Mining,NYQ,1,2,0,1,1,1,186,100,99,93,77,11,100,97,99,98,5,29,14
62,VRNA,Verona Pharma plc,8903238656,104.77,104.67,0.1,0.1,10540600,3499604,3.01,340486998,2.47,0.27,95.4,86.5,68.38,62.26,54.79,18.51,104.99,Healthcare,Biotechnology,NGM,1,2,1,1,1,1,185,100,99,99,97,80,87,95,98,99,9,62,67
63,AZ,A2Z Cust2Mate Solutions Corp.,393145440,11.22,11.9,-0.68,-5.71,326000,243024,1.34,2420842,6.8,47.69,10.39,9.58,7.84,7.21,6.5,1.33,12.36,Technology,Software - Application,NCM,1,1,0,0,1,1,184,86,98,100,99,13,94,87,95,99,1,69,75
64,CTEV,N/A,717120128,43.63,46.41,-2.78,-5.99,119800,128640,0.93,4970999,6.86,31.7,43.52,37.48,27.64,26.4,22.48,4.8,51.29,Healthcare,Health Information Services,NYQ,0,1,0,0,1,0,184,52,98,94,11,0,91,97,99,97,9,61,106
65,PLTR,Palantir Technologies Inc.,350635425792,148.58,149.15,-0.57,-0.38,58948300,87252912,0.67,11329666343,3.75,3.37,139.03,129.94,104.05,94.44,84.38,21.23,150.62,Technology,Software - Infrastructure,NMS,0,1,0,1,1,0,184,100,98,99,98,92,76,92,98,99,1,44,86
66,KC,Kingsoft Cloud Holdings Limited,4179794432,15.09,12.71,2.38,18.73,6982700,2019170,3.45,26410865,2.94,66.67,12.52,12.76,11.97,11.15,10.87,2.02,22.26,Technology,Software - Application,NMS,1,0,0,1,1,1,180,100,98,100,99,7,94,46,95,99,1,69,75
67,VOR,Vor Biopharma Inc.,280535200,2.24,2.39,-0.15,-6.07,7134100,21503010,0.33,21596815,18.27,24.28,1.58,1.05,0.91,0.96,0.85,0.13,3.29,Healthcare,Biotechnology,NMS,0,0,0,1,0,1,179,71,98,11,93,1,100,99,95,96,9,62,67
68,IONQ,"IonQ, Inc.",11772585984,41.47,42.41,-0.94,-2.22,15834900,23997796,0.66,967818049,6.97,23.03,42.01,38.9,32.53,30.19,27.58,6.22,54.74,Technology,Computer Hardware,NYQ,0,0,1,1,0,0,178,38,98,99,99,6,80,93,92,99,1,14,12
69,PAYS,"Paysign, Inc.",414765408,7.65,7.66,-0.01,-0.13,571500,684610,0.83,4136617,6.26,21.35,6.97,5.56,4.11,3.93,3.24,1.8,8.57,Technology,Software - Infrastructure,NCM,0,1,0,1,1,0,176,67,98,8,12,95,99,100,99,94,1,44,86
70,LTBR,Lightbridge Corporation,307254624,13.37,13.94,-0.57,-4.09,1619300,2058834,0.79,28515149,7.17,17.59,13.0,12.42,10.02,9.19,8.34,2.24,17.7,Industrials,Electrical Equipment & Parts,NCM,0,0,1,1,0,0,174,48,98,99,96,48,61,95,99,98,4,27,16
71,RCAT,"Red Cat Holdings, Inc.",1010815488,10.27,10.33,-0.06,-0.58,14671000,9196668,1.59,70340000,6.07,31.09,7.8,7.29,6.67,6.28,5.99,1.64,15.27,Technology,Computer Hardware,NCM,1,0,1,0,1,1,173,95,98,99,100,97,95,94,70,99,1,14,12
72,YSG,Yatsen Holding Limited,881615616,9.56,9.65,-0.09,-0.93,347200,512602,0.67,4552321,8.03,22.22,9.26,7.84,5.8,5.4,4.44,3.01,11.57,Consumer Defensive,Household & Personal Products,NYQ,0,0,0,1,0,1,173,24,98,82,26,21,65,99,99,97,11,95,113
73,SPRO,"Spero Therapeutics, Inc.",139217392,2.49,2.64,-0.15,-5.68,1018500,5379856,0.18,13094243,5.48,52.17,2.73,2.25,1.56,1.47,1.16,0.5,3.22,Healthcare,Biotechnology,NMS,0,0,1,0,1,0,170,5,98,4,6,21,4,99,99,93,9,62,67
74,NAGE,"Niagen Bioscience, Inc.",872768256,11.08,11.26,-0.18,-1.6,1015600,1089742,0.93,12595998,5.99,8.16,12.33,11.51,8.83,8.0,6.91,2.53,14.69,Healthcare,Biotechnology,NCM,0,0,0,1,0,0,164,5,98,97,97,92,2,95,98,99,9,62,67
75,NVTS,Navitas Semiconductor Corporation,1196060288,6.23,5.87,0.36,6.13,30962700,48004608,0.64,297931955,8.25,18.67,6.28,5.45,4.09,3.97,3.4,1.52,9.17,Technology,Semiconductors,NGM,0,0,1,1,0,0,163,24,98,6,26,9,3,99,98,80,1,18,19
76,ASTS,"AST SpaceMobile, Inc.",17298497536,51.12,47.86,3.26,6.81,13894100,14514612,0.96,527390921,7.3,39.19,44.19,37.95,29.95,27.74,23.57,12.24,54.05,Technology,Communication Equipment,NMS,0,0,0,1,0,0,161,81,98,100,100,100,97,98,99,98,1,9,18
77,XYF,X Financial,783828544,18.57,19.04,-0.47,-2.47,187300,328022,0.55,5694226,5.24,24.39,18.4,17.11,13.38,12.13,10.8,3.78,20.36,Financial Services,Credit Services,NYQ,0,0,1,1,0,0,157,57,98,99,93,73,49,92,99,99,7,23,76
78,AMLX,"Amylyx Pharmaceuticals, Inc.",723825728,8.12,8.41,-0.29,-3.45,2000000,1524024,1.29,9127556,6.15,23.94,6.7,5.85,4.92,4.99,4.65,1.76,8.46,Healthcare,Biotechnology,NMS,0,1,0,1,1,1,156,95,98,94,68,1,98,97,99,98,9,62,67
79,CRDO,Credo Technology Group Holding Ltd,17608753152,102.59,98.7,3.89,3.94,3759200,5351380,0.69,403216477,4.53,22.01,90.15,77.66,62.31,58.04,50.55,22.5,103.16,Technology,Semiconductors,NMS,0,1,0,0,1,0,156,100,98,75,98,96,98,99,92,98,1,18,19
80,PDYN,Palladyne AI Corp.,327492800,9.17,9.04,0.13,1.44,6167100,2744382,2.24,22644134,7.65,99.16,8.51,8.04,6.85,6.3,5.8,1.38,14.95,Technology,Software - Infrastructure,NGM,1,0,1,1,0,0,151,86,98,99,100,97,89,91,85,99,1,44,86
81,AKBA,"Akebia Therapeutics, Inc.",1019027712,3.88,3.97,-0.09,-2.27,2871200,5236522,0.54,17322525,4.34,45.45,3.7,3.33,2.61,2.42,2.13,1.07,4.08,Healthcare,Drug Manufacturers - Specialty & Generic,NCM,0,0,1,1,1,0,149,81,98,83,85,22,78,97,98,98,9,54,95
82,TNGX,"Tango Therapeutics, Inc.",640608512,5.91,6.09,-0.18,-2.96,1484500,3376018,0.44,11996948,8.47,45.24,5.27,4.16,3.68,4.0,3.68,1.03,12.02,Healthcare,Biotechnology,NGM,0,0,1,1,1,0,148,81,98,1,0,92,96,100,98,8,9,62,67
83,CURI,CuriosityStream Inc.,252761920,4.38,4.4,-0.02,-0.45,386400,975604,0.4,5028183,6.63,4.12,4.9,4.8,3.67,3.29,2.93,0.99,7.15,Communication Services,Broadcasting,NCM,0,0,0,1,0,0,146,5,98,98,94,92,15,95,99,98,2,12,10
84,PL,Planet Labs PBC,1951061376,6.43,6.2,0.23,3.71,9149900,9614878,0.95,53742152,7.16,18.26,6.02,5.27,4.38,4.14,3.71,1.76,7.72,Industrials,Aerospace & Defense,NYQ,0,0,0,0,0,1,143,76,98,93,95,11,93,97,96,98,4,7,59
85,NBIS,N/A,12834566144,53.53,51.95,1.58,3.04,18386700,14048884,1.3,617929872,6.2,60.19,48.32,43.41,34.97,0.0,0.0,14.09,55.75,Communication Services,Internet Content & Information,NMS,1,0,0,0,0,0,140,95,98,41,94,38,87,99,93,97,2,38,55
86,AMBR,Amber International Holding Limited,862819456,9.21,8.86,0.35,3.95,399300,186496,2.14,1901469,10.22,25.52,9.74,10.03,8.96,8.29,7.87,1.47,13.09,Technology,Software - Infrastructure,NGM,0,0,0,1,0,1,140,33,98,100,99,2,1,8,72,99,1,44,86
87,PGY,Pagaya Technologies Ltd.,1778371456,23.49,23.69,-0.2,-0.84,1378200,2411126,0.56,42677666,5.04,15.25,21.23,18.39,14.65,14.11,12.53,8.2,24.08,Technology,Software - Infrastructure,NCM,0,2,0,0,1,0,137,95,98,51,9,20,97,98,99,93,1,44,86
88,CAR,"Avis Budget Group, Inc.",6777313792,192.58,194.86,-2.28,-1.17,529600,1394642,0.38,192090422,4.92,15.04,168.95,142.4,112.5,109.82,96.55,54.03,197.73,Industrials,Rental & Leasing Services,NMS,0,2,0,1,1,1,136,95,98,21,12,4,99,99,98,93,4,36,33
89,SGHC,Super Group (SGHC) Limited,5819893760,11.51,11.66,-0.15,-1.29,1317600,1380934,0.95,13633489,3.34,35.57,10.83,9.8,8.01,7.42,6.66,2.94,12.18,Consumer Cyclical,Gambling,NYQ,1,1,0,0,1,0,135,86,98,98,95,64,94,92,98,98,8,20,8
