#,Ticker,Company Name,Market Cap,Close,Previous Close,Change,% Change,Volume,Avg Volume,Relative Volume,Avg Dollar Volume,ADR %,Relative Measured Volatility,21 EMA,50 EMA,150 EMA,200 EMA,200 EMA 1M,52 Week Low,52 Week High,Sector,Industry,Exchange,Pocket Pivot,RS New High,Tight Range,Inside Day,Think 40,Episodic Pivot,RS Score,RS STS %,RS Rating,RS Rating 3M,RS Rating 6M,RS Rating 1Y,AS Rating 1M,AS Rating 3M,AS Rating 6M,AS Rating 1Y,Sector Rank,Industry Rank,Industry Rank By AS
28,NVO,Novo Nordisk A/S,303437643776,68.51,67.7,0.81,1.2,5625600,10653516,0.52,724962050,2.38,0.0,71.77,71.34,80.7,85.25,87.85,57.0,145.99,Healthcare,Drug Manufacturers - General,NYQ,0,0,0,1,0,0,-23,14,8,6,6,94,25,47,17,4,11,116,103
29,KO,The Coca-Cola Company,302719303680,70.33,69.47,0.86,1.24,23465800,15712910,0.82,1113280128,1.23,65.63,70.33,70.35,68.33,67.41,66.72,60.62,74.38,Consumer Defensive,Beverages - Non-Alcoholic,NYQ,0,0,1,0,0,0,6,10,59,77,34,68,28,47,79,60,9,46,131
30,PM,Philip Morris International Inc.,281776816128,181.03,179.31,1.72,0.96,7049400,5734082,0.58,1000269154,1.64,47.41,180.8,174.49,154.76,147.53,139.84,100.8,186.69,Consumer Defensive,Tobacco,NYQ,1,0,1,1,1,0,44,5,91,94,78,75,52,77,94,92,9,2,43
31,BABA,Alibaba Group Holding Limited,272809771008,114.08,113.93,0.15,0.13,12345400,13784934,0.89,1649937457,1.94,47.22,116.52,118.5,112.58,108.81,107.17,71.8,148.43,Consumer Cyclical,Internet Retail,NYQ,1,0,0,0,0,0,16,5,75,97,60,35,20,10,90,87,10,24,44
32,UNH,UnitedHealth Group Incorporated,280406032384,309.11,302.62,6.49,2.14,13591600,19507844,0.7,6244758374,2.34,47.39,309.88,347.96,432.8,451.31,483.91,248.88,630.73,Healthcare,Healthcare Plans,NYQ,0,0,1,1,0,0,-40,33,2,60,32,35,65,1,5,10,11,87,77
33,IBM,International Business Machines Corporation,269246316544,289.7,291.93,-2.23,-0.76,3560800,4199944,0.5,1084729089,1.65,33.38,279.05,266.48,245.23,236.93,227.68,170.53,296.16,Technology,Information Technology Services,NYQ,0,1,0,1,1,0,35,67,88,87,77,70,86,80,89,91,1,65,78
34,CSCO,"Cisco Systems, Inc.",273041653760,68.65,68.95,-0.3,-0.44,26217800,20523030,1.2,1283389272,1.33,45.95,65.83,63.56,60.12,58.8,57.24,44.5,69.22,Technology,Communication Equipment,NMS,1,1,0,0,1,0,25,81,83,83,77,30,80,73,81,86,1,10,8
35,GE,GE Aerospace,271406923776,254.51,251.0,3.51,1.4,26987300,6456940,1.6,1481435675,2.15,69.63,242.87,230.5,206.66,198.57,188.12,150.2,260.55,Industrials,Aerospace & Defense,NYQ,1,0,0,0,0,0,40,62,90,89,72,95,64,86,94,89,6,9,20
36,TMUS,"T-Mobile US, Inc.",267114610688,235.25,231.42,3.83,1.65,6496200,4718940,1.34,1124346638,1.7,76.21,233.0,238.91,236.19,230.38,229.72,173.74,276.49,Communication Services,Telecom Services,NMS,0,0,0,0,0,0,7,43,60,93,82,81,25,13,69,79,5,47,66
37,CRM,"Salesforce, Inc.",261389533184,273.42,270.74,2.68,0.99,21739800,7649684,1.09,2053498112,2.13,24.03,268.0,271.16,282.38,282.91,286.69,230.0,369.0,Technology,Software - Application,NYQ,1,0,0,0,0,0,-1,67,35,34,83,31,57,50,17,60,1,59,94
38,WFC,Wells Fargo & Company,258707324928,79.5,79.96,-0.46,-0.58,21291300,16677144,0.76,1221419139,1.76,17.71,75.97,74.18,71.05,69.3,67.87,50.15,81.5,Financial Services,Banks - Diversified,NYQ,0,0,0,0,1,0,26,90,84,85,86,83,74,72,77,83,7,3,21
39,CVX,Chevron Corporation,250203226112,143.79,144.44,-0.65,-0.45,9211300,9076510,0.68,1267968727,1.89,12.03,143.38,142.59,145.17,145.66,146.18,132.04,168.96,Energy,Oil & Gas Integrated,NYQ,0,0,0,0,0,0,-5,24,27,81,34,56,65,12,61,32,12,72,28
40,ABT,Abbott Laboratories,233799712768,134.38,133.67,0.71,0.53,9513200,6476216,1.47,859717207,1.82,12.59,134.13,132.69,126.97,124.46,122.29,99.71,141.23,Healthcare,Medical Devices,NYQ,1,0,1,1,1,0,15,10,74,84,58,44,48,54,82,76,11,103,80
41,NVS,Novartis AG,237030555648,120.01,120.32,-0.31,-0.26,1540800,1583106,0.97,179207889,0.98,33.91,117.13,114.31,109.18,107.75,105.51,96.06,120.92,Healthcare,Drug Manufacturers - General,NYQ,0,0,1,1,0,0,13,29,71,78,27,73,74,61,88,64,11,116,103
42,AMD,"Advanced Micro Devices, Inc.",233173532672,143.81,143.68,0.13,0.09,61824800,45859666,1.33,5262656891,3.16,46.06,126.94,117.39,118.06,121.34,120.39,76.48,187.28,Technology,Semiconductors,NMS,1,0,0,0,1,0,15,90,74,10,9,83,96,91,79,27,1,21,4
43,TM,Toyota Motor Corporation,229036687360,175.74,170.63,5.11,2.99,512700,404160,1.19,74140707,0.98,31.65,177.9,181.07,182.9,183.64,184.55,155.0,208.86,Consumer Cyclical,Auto Manufacturers,NYQ,0,0,0,0,0,0,-4,24,29,34,26,60,12,31,41,24,10,41,130
44,AZN,AstraZeneca PLC,216565039104,69.85,70.07,-0.22,-0.31,3133400,4586340,0.68,322349011,1.48,3.45,71.18,71.03,71.08,71.12,70.93,61.24,87.68,Healthcare,Drug Manufacturers - General,NMS,0,0,0,1,0,0,-4,5,29,65,24,81,25,22,70,26,11,116,103
45,MS,Morgan Stanley,225711783936,140.69,139.75,0.94,0.67,7246300,5788242,0.8,724691027,1.58,62.86,132.72,127.94,122.12,119.34,116.42,90.94,142.03,Financial Services,Capital Markets,NYQ,1,0,0,0,1,0,30,100,86,78,85,74,82,84,77,86,7,17,15
46,LIN,Linde plc,218317094912,463.79,464.46,-0.67,-0.14,2640700,1901712,1.36,871367302,1.34,24.57,463.02,459.57,452.98,450.24,446.77,408.65,487.49,Basic Materials,Specialty Chemicals,NMS,0,0,1,1,0,0,4,5,55,65,27,64,43,49,74,54,8,127,68
47,AXP,American Express Company,222219829248,317.19,311.42,5.77,1.85,4605300,2799654,1.11,802679875,1.6,81.13,300.03,291.57,282.46,277.22,272.19,220.43,326.27,Financial Services,Credit Services,NYQ,1,0,0,0,1,0,21,100,80,65,85,86,76,81,67,81,7,19,35
48,DIS,The Walt Disney Company,219936735232,122.34,121.46,0.88,0.72,13430800,10766654,0.78,1145732034,1.58,11.52,116.31,110.37,105.15,104.08,101.25,80.1,122.94,Communication Services,Entertainment,NYQ,0,1,0,0,1,0,22,100,81,34,70,60,82,85,73,69,5,18,32
49,HSBC,HSBC Holdings plc,212841414656,60.82,60.48,0.34,0.56,1061600,1529868,0.69,88329312,0.93,40.3,59.56,58.12,53.56,51.68,49.9,39.42,61.88,Financial Services,Banks - Diversified,NYQ,1,0,1,0,1,0,26,24,84,92,77,80,57,60,88,85,7,3,21
50,QQQ,Invesco QQQ Trust,215454187520,548.09,546.22,1.87,0.34,57493100,46284080,1.23,23488943520,1.07,30.02,530.14,514.67,499.59,493.92,485.55,402.39,549.98,Exchange Traded Fund,Exchange Traded Fund,NGM,0,0,0,0,1,0,13,90,71,41,71,82,70,77,64,62,2,52,53
51,INTU,Intuit Inc.,216621875200,776.57,772.86,3.71,0.48,2051700,1714804,1.2,1199882321,1.42,93.63,751.58,709.86,656.83,646.84,620.91,532.65,787.22,Technology,Software - Application,NMS,0,0,1,0,1,0,25,14,83,37,52,73,56,88,84,70,1,59,94
52,SHEL,Shell plc,208857956352,70.98,70.99,-0.01,-0.01,3532931,4569277,0.73,308427588,1.48,4.16,69.84,68.22,66.6,66.24,65.41,58.54,74.46,Energy,Oil & Gas Integrated,NYQ,0,0,0,0,0,0,5,48,57,79,24,74,75,33,82,51,12,72,28
53,MCD,McDonald's Corporation,208467869696,291.55,285.63,5.92,2.07,7420600,3384284,2.15,1033845356,1.6,75.43,297.42,302.97,299.66,296.67,296.2,243.53,326.32,Consumer Cyclical,Restaurants,NYQ,1,0,0,1,0,0,1,14,49,77,57,27,11,24,57,63,10,82,71
54,NOW,"ServiceNow, Inc.",211796344832,1022.42,1011.44,10.98,1.09,1514300,1497724,0.71,1442806496,1.83,59.74,1001.19,978.21,948.18,932.82,916.79,678.66,1198.09,Technology,Software - Application,NYQ,0,0,0,0,0,0,20,38,79,31,88,76,46,87,34,80,1,59,94
55,T,AT&T Inc.,202196779008,28.08,28.0,0.08,0.29,37334900,32726788,0.56,901620401,1.5,9.43,27.91,27.55,25.58,24.61,23.87,18.14,29.03,Communication Services,Telecom Services,NYQ,1,0,1,0,0,0,24,5,83,94,81,81,56,47,87,88,5,47,66
56,GS,"The Goldman Sachs Group, Inc.",211968819200,690.81,687.16,3.65,0.53,3646600,2205830,1.63,1304785096,1.64,22.22,635.59,606.21,573.22,558.46,542.31,437.37,694.2,Financial Services,Capital Markets,NYQ,1,1,0,0,1,0,35,100,88,81,85,89,89,86,83,87,7,17,15
57,MRK,"Merck & Co., Inc.",198622478336,79.1,78.83,0.27,0.34,60199400,16421068,0.84,1287470966,2.22,19.56,78.98,79.75,87.35,90.59,93.18,73.31,130.97,Healthcare,Drug Manufacturers - General,NYQ,1,0,0,1,0,0,-21,19,10,16,16,79,66,14,19,9,11,116,103
58,HDB,HDFC Bank Limited,196886364160,77.03,76.92,0.11,0.14,1544000,2565808,0.6,188706573,1.27,24.47,75.17,73.1,68.15,66.9,64.99,57.24,78.14,Financial Services,Banks - Regional,NYQ,0,0,1,1,0,0,17,38,76,67,56,66,59,76,82,66,7,55,76
59,UBER,"Uber Technologies, Inc.",194729164800,91.53,93.12,-1.59,-1.71,24706400,22918414,1.01,1950444400,2.54,39.04,87.21,84.3,78.04,76.23,74.01,54.84,94.38,Technology,Software - Application,NYQ,1,0,0,0,1,0,30,86,86,70,16,86,79,85,94,75,1,59,94
60,RTX,RTX Corporation,193258520576,144.66,142.67,1.99,1.39,9172900,5981954,0.73,803186684,1.93,31.78,141.42,136.59,128.24,125.01,121.21,99.07,149.26,Industrials,Aerospace & Defense,NYQ,0,0,0,1,0,0,23,62,82,87,72,80,76,68,87,84,6,9,20
61,ISRG,"Intuitive Surgical, Inc.",191463669760,533.71,534.19,-0.48,-0.09,2016300,1711962,1.17,899842692,2.09,18.03,528.29,529.69,522.94,513.76,510.19,413.82,616.0,Healthcare,Medical Instruments & Supplies,NMS,0,0,0,0,0,0,9,48,65,69,81,89,16,65,47,68,11,119,105
62,ACN,Accenture plc,184414306304,295.46,296.08,-0.62,-0.21,4159200,3160762,0.86,965533302,1.84,9.86,305.68,309.93,323.03,325.53,329.3,273.19,398.35,Technology,Information Technology Services,NYQ,0,0,0,1,0,0,-7,10,23,31,64,28,10,30,20,35,1,65,78
63,TXN,Texas Instruments Incorporated,188126380032,207.08,206.31,0.77,0.37,8584900,7195348,0.99,1285063461,1.85,15.71,196.99,187.69,183.74,183.5,180.39,139.95,220.39,Technology,Semiconductors,NMS,0,0,0,0,1,0,12,86,70,39,57,80,86,79,73,57,1,21,4
64,RY,Royal Bank of Canada,182931324928,129.71,130.17,-0.46,-0.35,731500,1162108,0.6,143868159,1.0,46.35,127.64,124.77,120.52,118.83,116.8,102.89,130.96,Financial Services,Banks - Diversified,NYQ,0,0,1,0,1,0,14,5,72,62,69,73,62,75,71,72,7,3,21
65,VZ,Verizon Communications Inc.,178389549056,42.31,42.1,0.21,0.5,21419200,17292176,0.75,745115421,1.42,16.92,42.73,42.95,42.04,41.5,41.19,37.59,47.36,Communication Services,Telecom Services,NYQ,0,0,0,0,0,0,2,10,51,78,44,75,20,25,74,57,5,47,66
66,PEP,"PepsiCo, Inc.",179666305024,131.04,128.22,2.82,2.2,26532400,9536314,2.38,1249944258,1.52,100.0,130.06,132.59,141.74,144.92,148.21,127.6,180.91,Consumer Defensive,Beverages - Non-Alcoholic,NMS,1,0,1,0,0,0,-15,14,15,34,22,35,44,13,26,19,9,46,131
67,BKNG,Booking Holdings Inc.,185256148992,5693.13,5596.0,97.13,1.74,297500,222158,1.32,1159513809,1.64,50.39,5430.71,5261.86,4915.23,4775.64,4622.87,3180.0,5704.33,Consumer Cyclical,Travel Services,NMS,1,0,0,0,1,0,28,67,85,74,85,85,62,84,76,84,10,36,22
68,CAT,Caterpillar Inc.,180934885376,384.71,381.88,2.83,0.74,4455000,2565830,1.01,871386463,1.49,33.57,361.71,348.82,345.87,345.0,341.45,267.3,418.5,Industrials,Farm & Heavy Construction Machinery,NYQ,1,0,0,0,1,0,13,100,71,36,63,71,81,77,68,67,6,31,10
69,BX,Blackstone Inc.,183331176448,151.11,148.18,2.93,1.98,7633400,3849636,1.48,530617041,2.05,66.67,141.4,140.83,146.03,145.73,146.87,115.66,200.96,Financial Services,Asset Management,NYQ,1,0,0,0,1,0,7,100,60,43,84,70,80,68,26,72,7,77,85
70,QCOM,QUALCOMM Incorporated,174076919808,158.54,158.19,0.35,0.22,22099200,8694192,2.54,1285980062,2.03,58.36,153.7,151.21,154.15,155.23,155.59,120.8,211.09,Technology,Semiconductors,NMS,1,0,0,0,0,0,-3,57,31,34,30,95,77,57,57,20,1,21,4
71,ARM,Arm Holdings plc,175265169408,165.46,158.15,7.31,4.62,7477800,4948978,1.49,638580967,3.19,79.45,144.17,134.32,131.06,130.17,127.52,80.0,188.75,Technology,Semiconductors,NMS,1,0,0,0,1,0,29,100,86,18,58,99,96,94,87,45,1,21,4
72,ADBE,Adobe Inc.,163669082112,385.83,384.95,0.88,0.23,5082400,3553302,1.42,1384616247,2.12,14.62,393.96,396.27,422.22,435.31,443.43,332.01,587.75,Technology,Software - Application,NMS,0,0,0,1,0,0,-13,5,16,18,15,54,10,46,25,14,1,59,94
73,SCHW,The Charles Schwab Corporation,163490971648,89.98,89.44,0.54,0.6,9335400,8140748,1.12,691138361,1.53,66.45,88.46,85.88,80.43,78.57,76.34,61.01,90.86,Financial Services,Capital Markets,NYQ,0,0,1,0,1,0,24,10,83,77,67,79,56,76,85,72,7,17,15
74,SPGI,S&P Global Inc.,158772871168,517.71,515.02,2.69,0.52,2251700,1202506,1.87,605233369,1.43,26.77,511.94,507.23,500.64,496.01,492.44,427.14,545.39,Financial Services,Financial Data & Stock Exchanges,NYQ,1,0,1,1,0,0,5,24,57,69,63,71,46,54,63,64,7,37,83
75,MUFG,"Mitsubishi UFJ Financial Group, Inc.",159439142912,13.89,13.82,0.07,0.51,2794400,5508612,0.51,72566272,1.23,11.76,13.62,13.35,12.63,12.31,12.0,8.75,15.03,Financial Services,Banks - Diversified,NYQ,0,0,0,0,0,0,18,29,77,91,75,78,49,35,84,79,7,3,21
76,PGR,The Progressive Corporation,154757267456,263.99,261.62,2.37,0.91,12464500,3190968,1.06,870309583,2.15,0.0,268.65,272.02,263.34,256.72,253.76,207.48,292.99,Financial Services,Insurance - Property & Casualty,NYQ,1,0,0,0,0,0,7,14,60,86,72,89,13,22,75,75,7,29,126
77,BLK,"BlackRock, Inc.",162334556160,1047.82,1030.79,17.03,1.65,799900,626090,1.27,597887048,1.37,60.99,991.58,969.12,949.37,936.89,924.86,773.74,1084.22,Financial Services,Asset Management,NYQ,0,0,0,0,1,0,15,100,74,69,81,64,77,70,57,80,7,77,85
78,BSX,Boston Scientific Corporation,157605806080,106.53,104.58,1.95,1.86,15637000,7521240,2.05,769144281,1.68,36.77,102.84,102.12,97.64,94.87,93.24,71.88,107.17,Healthcare,Medical Devices,NYQ,1,0,0,0,0,0,19,76,78,87,81,90,53,62,81,81,11,103,80
79,SPOT,Spotify Technology S.A.,158426267648,772.6,775.9,-3.3,-0.43,2792500,2181816,1.08,1414521151,2.81,34.46,713.75,670.21,578.27,542.32,504.09,288.07,785.0,Communication Services,Internet Content & Information,NYQ,1,1,0,0,1,0,77,95,95,96,93,97,94,91,96,96,5,57,62
80,UL,Unilever PLC,149420310528,60.92,60.68,0.24,0.4,1982300,2263170,0.88,141810194,0.93,22.99,62.18,61.91,59.93,59.12,58.37,54.32,65.87,Consumer Defensive,Household & Personal Products,NYQ,1,0,0,1,0,0,5,5,57,67,57,76,15,55,72,60,9,83,113
81,TMO,Thermo Fisher Scientific Inc.,155572649984,408.28,412.12,-3.84,-0.93,3922600,2769648,1.41,1139104171,2.3,13.04,405.7,419.76,472.75,487.69,506.24,385.46,627.88,Healthcare,Diagnostics & Research,NYQ,1,0,0,0,0,0,-24,14,8,31,24,58,49,7,15,14,11,108,24
82,PDD,PDD Holdings Inc.,150127296512,105.14,105.75,-0.61,-0.58,4076500,8459732,0.47,883657348,2.21,4.55,104.23,106.0,110.32,111.72,113.86,87.11,155.67,Consumer Cyclical,Internet Retail,NMS,0,0,0,1,0,0,-10,62,20,74,12,91,75,11,67,16,10,24,44
83,C,Citigroup Inc.,157599055872,84.38,84.37,0.01,0.01,21862000,12709308,1.72,938119235,1.5,0.0,78.83,75.59,71.67,70.0,68.07,53.51,84.79,Financial Services,Banks - Diversified,NYQ,1,0,0,1,1,0,30,95,86,78,79,86,86,81,84,83,7,3,21
84,BA,The Boeing Company,161771995136,214.55,202.58,11.97,5.91,14793600,8767792,1.68,1723366423,2.26,100.0,203.71,196.56,182.76,181.04,175.42,128.88,218.8,Industrials,Aerospace & Defense,NYQ,0,0,0,0,0,0,26,52,84,62,36,17,59,84,83,68,6,9,20
85,SONY,Sony Group Corporation,158151884800,26.3,25.54,0.76,2.98,6147800,5829908,0.98,148094697,1.13,35.0,25.65,25.33,23.53,22.79,22.09,15.96,26.95,Technology,Consumer Electronics,NYQ,0,0,1,0,0,0,26,29,84,92,75,27,26,58,87,88,1,90,67
86,AMGN,Amgen Inc.,150079209472,277.13,279.11,-1.98,-0.71,2894300,2899100,0.92,809662087,2.55,10.88,283.79,284.21,287.38,287.59,287.66,253.3,346.85,Healthcare,Drug Manufacturers - General,NMS,0,0,0,1,0,0,-6,5,25,72,20,85,21,16,69,27,11,116,103
87,SHOP,Shopify Inc.,145892507648,113.65,113.07,0.58,0.51,6375400,12031832,0.53,1244913438,3.13,33.5,108.94,105.3,100.45,97.75,95.25,48.56,129.38,Technology,Software - Application,NMS,0,0,0,1,1,0,31,81,86,86,91,28,70,78,63,91,1,59,94
88,SYK,Stryker Corporation,150401024000,393.55,390.4,3.15,0.81,2216600,1316732,1.68,496925493,1.43,41.91,382.84,379.38,372.9,368.89,365.95,314.93,406.19,Healthcare,Medical Devices,NYQ,1,0,0,1,0,0,10,57,67,62,63,66,58,64,70,64,11,103,80
89,NEE,"NextEra Energy, Inc.",146142560256,70.89,70.99,-0.1,-0.14,14274500,12831904,0.77,891466086,2.1,27.66,71.23,70.38,70.44,70.44,70.16,61.72,86.1,Utilities,Utilities - Regulated Electric,NYQ,0,0,1,1,0,0,-3,5,31,41,57,76,62,50,46,36,3,33,132
